site,year_baseline,year_perturbed,n_star
ABBY,2017,2018,5
ABBY,2018,2019,5
ABBY,2019,2020,5
ABBY,2020,2021,5
ABBY,2021,2022,5
ABBY,2022,2023,5
BARR,2017,2018,5
BARR,2018,2019,5
BARR,2019,2021,5
BARR,2021,2022,5
BARR,2022,2023,5
BART,2014,2015,5
BART,2015,2016,5
BART,2016,2017,6
BART,2017,2018,5
BART,2018,2019,5
BART,2019,2020,5
BART,2020,2021,5
BART,2021,2022,5
BART,2022,2023,5
BLAN,2015,2016,5
BLAN,2016,2017,5
BLAN,2017,2018,5
BLAN,2018,2019,5
BLAN,2019,2020,5
BLAN,2020,2021,5
BLAN,2021,2022,5
BLAN,2022,2023,5
BONA,2017,2018,5
BONA,2018,2019,5
BONA,2019,2020,5
BONA,2020,2021,5
BONA,2021,2022,5
BONA,2022,2023,5
CLBJ,2016,2017,5
CLBJ,2017,2018,5
CLBJ,2018,2019,5
CLBJ,2019,2021,5
CPER,2013,2014,5
CPER,2014,2015,5
CPER,2015,2016,5
CPER,2016,2017,5
CPER,2017,2018,5
CPER,2018,2019,5
CPER,2019,2020,5
CPER,2020,2021,5
CPER,2021,2022,5
CPER,2022,2023,5
DCFS,2017,2018,5
DCFS,2018,2019,5
DCFS,2019,2020,5
DCFS,2020,2021,5
DCFS,2021,2022,5
DCFS,2022,2023,5
DEJU,2016,2017,5
DEJU,2017,2018,5
DEJU,2018,2019,5
DEJU,2019,2020,5
DEJU,2020,2021,5
DEJU,2021,2022,5
DEJU,2022,2023,5
DELA,2015,2016,5
DELA,2016,2017,5
DELA,2017,2018,5
DELA,2018,2019,5
DELA,2019,2020,5
DELA,2020,2021,5
DELA,2021,2022,5
DELA,2022,2023,5
DSNY,2014,2015,5
DSNY,2015,2016,5
DSNY,2016,2017,5
DSNY,2017,2018,5
DSNY,2018,2019,5
DSNY,2021,2022,5
DSNY,2022,2023,5
GRSM,2015,2016,5
GRSM,2016,2017,5
GRSM,2017,2018,5
GRSM,2018,2019,5
GRSM,2019,2020,5
GRSM,2020,2021,5
GRSM,2021,2022,5
GRSM,2022,2023,5
GUAN,2015,2016,10
GUAN,2016,2017,8
GUAN,2017,2018,6
GUAN,2018,2019,6
GUAN,2019,2020,6
GUAN,2020,2021,8
GUAN,2021,2022,15
GUAN,2022,2023,8
HARV,2014,2015,5
HARV,2015,2016,5
HARV,2016,2017,5
HARV,2017,2018,5
HARV,2018,2019,5
HARV,2019,2020,5
HARV,2020,2021,5
HARV,2021,2022,5
HARV,2022,2023,5
HEAL,2015,2016,5
HEAL,2016,2017,5
HEAL,2017,2018,5
HEAL,2018,2019,5
HEAL,2019,2020,5
HEAL,2020,2021,5
HEAL,2021,2022,5
HEAL,2022,2023,5
JERC,2014,2015,5
JERC,2015,2016,5
JERC,2016,2017,5
JERC,2017,2018,5
JERC,2018,2019,5
JERC,2021,2022,5
JERC,2022,2023,5
JORN,2015,2016,5
JORN,2016,2017,5
JORN,2017,2018,5
JORN,2018,2019,5
JORN,2019,2021,5
JORN,2021,2022,6
JORN,2022,2023,5
KONA,2017,2018,5
KONA,2018,2019,5
KONA,2019,2020,5
KONA,2020,2021,5
KONA,2021,2022,5
KONA,2022,2023,5
KONZ,2016,2017,5
KONZ,2017,2018,5
KONZ,2018,2019,5
KONZ,2019,2020,5
KONZ,2020,2021,5
KONZ,2021,2022,5
KONZ,2022,2023,5
LAJA,2016,2017,5
LAJA,2017,2018,5
LAJA,2018,2019,5
LAJA,2019,2020,5
LAJA,2020,2021,5
LAJA,2021,2022,5
LAJA,2022,2023,5
LENO,2016,2017,5
LENO,2017,2018,5
