year_baseline,year_perturbed,n_plots_overlap,site,species,n_star,power_achieved,power_threshold,decision_rule
2017,2018,30,ABBY,2PLANT,5,1,0.8,binary_detect
2017,2018,30,ABBY,ABGR,8,0.97,0.8,binary_detect
2017,2018,30,ABBY,ACCI,20,0.87,0.8,binary_detect
2017,2018,30,ABBY,ACRU2,5,1,0.8,binary_detect
2017,2018,30,ABBY,ACTR,5,1,0.8,binary_detect
2017,2018,30,ABBY,ADBI,5,1,0.8,binary_detect
2017,2018,30,ABBY,AGEX,6,1,0.8,binary_detect
2017,2018,30,ABBY,AGGR,5,1,0.8,binary_detect
2017,2018,30,ABBY,AGROS2,8,0.8,0.8,binary_detect
2017,2018,30,ABBY,AICA,15,0.99,0.8,binary_detect
2017,2018,30,ABBY,AIRA,5,1,0.8,binary_detect
2017,2018,30,ABBY,ANDE3,8,0.93,0.8,binary_detect
2017,2018,30,ABBY,ANEMO,5,0.83,0.8,binary_detect
2017,2018,30,ABBY,ANMA,5,0.83,0.8,binary_detect
2017,2018,30,ABBY,ANOD,15,0.98,0.8,binary_detect
2017,2018,30,ABBY,ASCA2,30,1,0.8,binary_detect
2017,2018,30,ABBY,ASTER,5,1,0.8,binary_detect
2017,2018,30,ABBY,ASTERA,5,1,0.8,binary_detect
2017,2018,30,ABBY,ASTERASPP,5,1,0.8,binary_detect
2017,2018,30,ABBY,ASTERSPP,5,1,0.8,binary_detect
2017,2018,30,ABBY,ASTR10,5,1,0.8,binary_detect
2017,2018,30,ABBY,ATFI,5,0.8,0.8,binary_detect
2017,2018,30,ABBY,BLSP,25,1,0.8,binary_detect
2017,2018,30,ABBY,BROMU,5,1,0.8,binary_detect
2017,2018,30,ABBY,BRVU,5,1,0.8,binary_detect
2017,2018,30,ABBY,CAHE7,5,1,0.8,binary_detect
2017,2018,30,ABBY,CAHI3,5,1,0.8,binary_detect
2017,2018,30,ABBY,CAME6,8,0.88,0.8,binary_detect
2017,2018,30,ABBY,CANU17,5,1,0.8,binary_detect
2017,2018,30,ABBY,CAOL,5,1,0.8,binary_detect
2017,2018,30,ABBY,CARDA,5,1,0.8,binary_detect
2017,2018,30,ABBY,CAREX,6,0.81,0.8,binary_detect
2017,2018,30,ABBY,CAREXSPP,5,1,0.8,binary_detect
2017,2018,30,ABBY,CARO5,15,0.95,0.8,binary_detect
2017,2018,30,ABBY,CASC7,5,1,0.8,binary_detect
2017,2018,30,ABBY,CASTI2,5,1,0.8,binary_detect
2017,2018,30,ABBY,CEFO2,5,1,0.8,binary_detect
2017,2018,30,ABBY,CEGL2,5,1,0.8,binary_detect
2017,2018,30,ABBY,CHAN9,10,0.8,0.8,binary_detect
2017,2018,30,ABBY,CIAL,5,1,0.8,binary_detect
2017,2018,30,ABBY,CIED,6,0.86,0.8,binary_detect
2017,2018,30,ABBY,CIRSI,30,1,0.8,binary_detect
2017,2018,30,ABBY,CIVU,5,0.85,0.8,binary_detect
2017,2018,30,ABBY,CLSI2,5,1,0.8,binary_detect
2017,2018,30,ABBY,CLUN2,5,1,0.8,binary_detect
2017,2018,30,ABBY,CLVU,5,1,0.8,binary_detect
2017,2018,30,ABBY,COCA5,5,1,0.8,binary_detect
2017,2018,30,ABBY,COHE2,5,1,0.8,binary_detect
2017,2018,30,ABBY,CONU4,5,1,0.8,binary_detect
2017,2018,30,ABBY,CONYZ,5,1,0.8,binary_detect
2017,2018,30,ABBY,COSE16,5,1,0.8,binary_detect
2017,2018,30,ABBY,CRCA3,20,0.97,0.8,binary_detect
2017,2018,30,ABBY,CREPI,20,0.91,0.8,binary_detect
2017,2018,30,ABBY,CYPERA,10,0.95,0.8,binary_detect
2017,2018,30,ABBY,DEEL,5,1,0.8,binary_detect
2017,2018,30,ABBY,DIAR,5,1,0.8,binary_detect
2017,2018,30,ABBY,DIFO,5,1,0.8,binary_detect
2017,2018,30,ABBY,DREX2,6,0.89,0.8,binary_detect
2017,2018,30,ABBY,ELTR7,5,1,0.8,binary_detect
2017,2018,30,ABBY,ELYMU,20,0.86,0.8,binary_detect
2017,2018,30,ABBY,EPBR3,5,1,0.8,binary_detect
2017,2018,30,ABBY,EPCI,5,0.92,0.8,binary_detect
2017,2018,30,ABBY,EPILO,5,1,0.8,binary_detect
2017,2018,30,ABBY,EPMI,5,1,0.8,binary_detect
2017,2018,30,ABBY,EQTE,30,1,0.8,binary_detect
2017,2018,30,ABBY,ERSU2,5,1,0.8,binary_detect
2017,2018,30,ABBY,FABACE,5,1,0.8,binary_detect
2017,2018,30,ABBY,FEOC,20,0.82,0.8,binary_detect
2017,2018,30,ABBY,FESTU,5,1,0.8,binary_detect
2017,2018,30,ABBY,FRPU7,5,1,0.8,binary_detect
2017,2018,30,ABBY,FRVI,5,1,0.8,binary_detect
2017,2018,30,ABBY,GAAP2,5,1,0.8,binary_detect
2017,2018,30,ABBY,GALIU,5,1,0.8,binary_detect
2017,2018,30,ABBY,GAOR,5,0.98,0.8,binary_detect
2017,2018,30,ABBY,GASH,5,1,0.8,binary_detect
2017,2018,30,ABBY,GATI,5,1,0.8,binary_detect
2017,2018,30,ABBY,GATR2,5,1,0.8,binary_detect
2017,2018,30,ABBY,GATR3,5,1,0.8,binary_detect
2017,2018,30,ABBY,HEGL5,5,1,0.8,binary_detect
2017,2018,30,ABBY,HIAL2,20,0.98,0.8,binary_detect
2017,2018,30,ABBY,HISC2,5,0.97,0.8,binary_detect
2017,2018,30,ABBY,HYGL2,6,0.85,0.8,binary_detect
2017,2018,30,ABBY,HYPE,8,1,0.8,binary_detect
2017,2018,30,ABBY,HYPOC,5,1,0.8,binary_detect
2017,2018,30,ABBY,HYRA,5,1,0.8,binary_detect
2017,2018,30,ABBY,HYSC5,5,1,0.8,binary_detect
2017,2018,30,ABBY,JUEFE2,5,1,0.8,binary_detect
2017,2018,30,ABBY,JUEFP,5,1,0.8,binary_detect
2017,2018,30,ABBY,JUNCAC,5,1,0.8,binary_detect
2017,2018,30,ABBY,JUNCU,5,1,0.8,binary_detect
2017,2018,30,ABBY,LABI,5,1,0.8,binary_detect
2017,2018,30,ABBY,LACO3,20,0.98,0.8,binary_detect
2017,2018,30,ABBY,LACTU,5,1,0.8,binary_detect
2017,2018,30,ABBY,LAMIAC,5,1,0.8,binary_detect
2017,2018,30,ABBY,LAPO3,5,1,0.8,binary_detect
2017,2018,30,ABBY,LASE,8,0.89,0.8,binary_detect
2017,2018,30,ABBY,LOPE,5,1,0.8,binary_detect
2017,2018,30,ABBY,LOTUS,25,1,0.8,binary_detect
2017,2018,30,ABBY,LUCO6,5,1,0.8,binary_detect
2017,2018,30,ABBY,LUPA4,5,1,0.8,binary_detect
2017,2018,30,ABBY,LUPIN,5,1,0.8,binary_detect
2017,2018,30,ABBY,LUZUL,5,1,0.8,binary_detect
2017,2018,30,ABBY,MADI,8,0.88,0.8,binary_detect
2017,2018,30,ABBY,MADIA,5,1,0.8,binary_detect
2017,2018,30,ABBY,MAIAN,5,1,0.8,binary_detect
2017,2018,30,ABBY,MANE2,20,0.9,0.8,binary_detect
2017,2018,30,ABBY,MASA,5,1,0.8,binary_detect
2017,2018,30,ABBY,MAST4,5,1,0.8,binary_detect
2017,2018,30,ABBY,MEAR4,5,1,0.8,binary_detect
2017,2018,30,ABBY,MEFE,6,0.97,0.8,binary_detect
2017,2018,30,ABBY,MESU,5,1,0.8,binary_detect
2017,2018,30,ABBY,MIGU,5,1,0.8,binary_detect
2017,2018,30,ABBY,MOMA3,5,1,0.8,binary_detect
2017,2018,30,ABBY,MYMU,5,0.99,0.8,binary_detect
2017,2018,30,ABBY,OENAN,5,1,0.8,binary_detect
2017,2018,30,ABBY,OSBE,5,1,0.8,binary_detect
2017,2018,30,ABBY,PEFR5,5,0.89,0.8,binary_detect
2017,2018,30,ABBY,PHACE,5,1,0.8,binary_detect
2017,2018,30,ABBY,PHHE2,5,1,0.8,binary_detect
2017,2018,30,ABBY,PINACE,5,1,0.8,binary_detect
2017,2018,30,ABBY,PINUS,5,1,0.8,binary_detect
2017,2018,30,ABBY,POACEA,30,1,0.8,binary_detect
2017,2018,30,ABBY,POACEASPP,5,0.94,0.8,binary_detect
2017,2018,30,ABBY,POGL8,15,1,0.8,binary_detect
2017,2018,30,ABBY,POMU,5,1,0.8,binary_detect
2017,2018,30,ABBY,PONE,8,1,0.8,binary_detect
2017,2018,30,ABBY,POPA2,5,1,0.8,binary_detect
2017,2018,30,ABBY,PREM,5,1,0.8,binary_detect
2017,2018,30,ABBY,PROSA,5,1,0.8,binary_detect
2017,2018,30,ABBY,PROSASPP,15,0.97,0.8,binary_detect
2017,2018,30,ABBY,PRSM,8,1,0.8,binary_detect
2017,2018,30,ABBY,PRVU,5,1,0.8,binary_detect
2017,2018,30,ABBY,PSMEM,5,1,0.8,binary_detect
2017,2018,30,ABBY,PYROL,5,1,0.8,binary_detect
2017,2018,30,ABBY,RAUN,5,1,0.8,binary_detect
2017,2018,30,ABBY,RIBES,5,1,0.8,binary_detect
2017,2018,30,ABBY,ROGY,15,0.91,0.8,binary_detect
2017,2018,30,ABBY,ROSACE,5,1,0.8,binary_detect
2017,2018,30,ABBY,RUBUS,5,1,0.8,binary_detect
2017,2018,30,ABBY,RULA,5,1,0.8,binary_detect
2017,2018,30,ABBY,RULA2,5,1,0.8,binary_detect
2017,2018,30,ABBY,RULE,5,1,0.8,binary_detect
2017,2018,30,ABBY,RUPA,25,0.97,0.8,binary_detect
2017,2018,30,ABBY,RUSP,5,1,0.8,binary_detect
2017,2018,30,ABBY,SAMBU,5,1,0.8,binary_detect
2017,2018,30,ABBY,SARA2/SANI4,20,0.9,0.8,binary_detect
2017,2018,30,ABBY,SAXIF,5,1,0.8,binary_detect
2017,2018,30,ABBY,SAXIFR,5,0.98,0.8,binary_detect
2017,2018,30,ABBY,SEJA,5,1,0.8,binary_detect
2017,2018,30,ABBY,SENEC,5,1,0.8,binary_detect
2017,2018,30,ABBY,SESY,15,0.99,0.8,binary_detect
2017,2018,30,ABBY,SEVU,5,1,0.8,binary_detect
2017,2018,30,ABBY,SOAR2,5,1,0.8,binary_detect
2017,2018,30,ABBY,SOAS,5,1,0.8,binary_detect
2017,2018,30,ABBY,SOCA6,5,1,0.8,binary_detect
2017,2018,30,ABBY,STACH,5,1,0.8,binary_detect
2017,2018,30,ABBY,STAM2,5,1,0.8,binary_detect
2017,2018,30,ABBY,STBO3,6,0.9,0.8,binary_detect
2017,2018,30,ABBY,STCA,8,1,0.8,binary_detect
2017,2018,30,ABBY,STCR2,5,1,0.8,binary_detect
2017,2018,30,ABBY,STELL,8,1,0.8,binary_detect
2017,2018,30,ABBY,STLO,5,1,0.8,binary_detect
2017,2018,30,ABBY,SYAL,15,0.97,0.8,binary_detect
2017,2018,30,ABBY,TAOF,5,1,0.8,binary_detect
2017,2018,30,ABBY,TARAX,5,1,0.8,binary_detect
2017,2018,30,ABBY,THMO6,15,1,0.8,binary_detect
2017,2018,30,ABBY,THOC,5,1,0.8,binary_detect
2017,2018,30,ABBY,TITRT,5,1,0.8,binary_detect
2017,2018,30,ABBY,TRBO2,5,1,0.8,binary_detect
