site,nstar_median,nstar_p10,nstar_p90
ABBY,5,5,10
BARR,5,5,6
BART,5,5,15
BLAN,5,5,8
BONA,5,5,15
CLBJ,5,5,8
CPER,5,5,6
DCFS,5,5,6
DEJU,5,5,15
DELA,5,5,10
DSNY,5,5,5
GRSM,5,5,8
GUAN,5,5,10
HARV,5,5,15
HEAL,5,5,6
JERC,5,5,6
JORN,5,5,8
KONA,5,5,6
KONZ,5,5,8
LAJA,5,5,15
LENO,5,5,8
MLBS,5,5,5
MOAB,5,5,8
NIWO,5,5,15
NOGP,5,5,6
OAES,5,5,5
ORNL,5,5,8
OSBS,5,5,8
PUUM,5,5,5
RMNP,5,5,8
SCBI,5,5,6
SERC,5,5,8
SJER,5,5,8
SOAP,5,5,8
SRER,5,5,8
STEI,5,5,8
STER,5,5,5
TALL,5,5,10
TEAK,5,5,8
TOOL,5,5,6
TREE,5,5,6
UKFS,5,5,6
UNDE,5,5,8
WOOD,5,5,10
WREF,5,5,5
YELL,5,5,5
