site,sample_size,p50,p10,p90
ABBY,30,1,0,1
BARR,30,1,0,1
BART,30,1,0,1
BLAN,20,1,0,1
BONA,30,1,0,1
CLBJ,30,1,0,1
CPER,30,1,0,1
DCFS,30,1,0,1
DEJU,30,1,0,1
DELA,30,1,0,1
DSNY,30,1,0,1
GRSM,30,1,0,1
GUAN,20,1,0,1
HARV,30,1,0,1
HEAL,30,1,0,1
JERC,30,1,0,1
JORN,30,1,0,1
KONA,25,1,0,1
KONZ,30,1,0,1
LAJA,30,1,0,1
LENO,30,1,1,1
MLBS,30,1,0,1
MOAB,30,1,0,1
NIWO,30,1,0,1
NOGP,30,1,0,1
OAES,30,1,0,1
ORNL,25,1,0,1
OSBS,25,1,0,1
PUUM,20,1,0,1
RMNP,30,1,0,1
SCBI,25,1,0.12,1
SERC,30,1,0,1
SJER,30,1,0,1
SOAP,25,1,0,1
SRER,30,1,0,1
STEI,30,1,0,1
STER,6,1,0,1
TALL,30,1,0,1
TEAK,20,1,0,1
TOOL,30,1,0,1
TREE,25,1,0,1
UKFS,30,1,0,1
UNDE,25,1,0,1
WOOD,30,1,0,1
WREF,30,1,0,1
YELL,20,1,0.225,1
