site,numberPlotsTo0.8Threshold,mean_power_nstar,sd_power_nstar,lower_95_nstar,upper_95_nstar,frac_year_pairs_80_nstar,n_year_pairs_nstar
ABBY,20,0.821058559,0.370706089,0.796675998,0.845441119,0.808558559,888
BARR,6,0.813727273,0.37447332,0.778736735,0.84871781,0.793181818,440
BART,NA,NA,NA,NA,NA,NA,NA
BLAN,15,0.817429577,0.378235252,0.801876587,0.832982568,0.805897887,2272
BONA,20,0.814497992,0.382864152,0.780871148,0.848124836,0.805220884,498
CLBJ,8,0.815808511,0.365079814,0.796752397,0.834864624,0.792907801,1410
CPER,20,0.806040404,0.394656807,0.78865667,0.823424138,0.805050505,1980
DCFS,10,0.801103175,0.394687887,0.779309794,0.822896555,0.794444444,1260
DEJU,NA,NA,NA,NA,NA,NA,NA
DELA,NA,NA,NA,NA,NA,NA,NA
DSNY,6,0.804506803,0.383779155,0.792782156,0.81623145,0.792274052,4116
GRSM,NA,NA,NA,NA,NA,NA,NA
GUAN,NA,NA,NA,NA,NA,NA,NA
HARV,NA,NA,NA,NA,NA,NA,NA
HEAL,20,0.803808824,0.387774579,0.77466269,0.832954957,0.795588235,680
JERC,8,0.82097631,0.366282731,0.811358705,0.830593916,0.800610194,5572
JORN,NA,NA,NA,NA,NA,NA,NA
KONA,NA,NA,NA,NA,NA,NA,NA
KONZ,15,0.805873926,0.382976116,0.785783689,0.825964162,0.791547278,1396
LAJA,30,0.801843318,0.399532497,0.748684133,0.855002503,0.801843318,217
LENO,6,0.813568773,0.377852317,0.793375021,0.833762525,0.798513011,1345
MLBS,6,0.800218447,0.3951838,0.77818685,0.822250043,0.79368932,1236
MOAB,NA,NA,NA,NA,NA,NA,NA
NIWO,NA,NA,NA,NA,NA,NA,NA
NOGP,20,0.807782258,0.392721718,0.785923265,0.829641251,0.806451613,1240
OAES,6,0.816753165,0.377736705,0.798127288,0.835379041,0.806329114,1580
ORNL,NA,NA,NA,NA,NA,NA,NA
OSBS,20,0.808293173,0.386996031,0.784258793,0.832327552,0.803212851,996
PUUM,5,0.828104348,0.371186143,0.797764465,0.858444231,0.820869565,575
RMNP,NA,NA,NA,NA,NA,NA,NA
SCBI,6,0.810349846,0.373417925,0.798105525,0.822594168,0.788413098,3573
SERC,8,0.817132468,0.362307208,0.800947282,0.833317653,0.792727273,1925
SJER,25,0.806515152,0.390270192,0.770927407,0.842102896,0.800865801,462
SOAP,25,0.812118056,0.387495898,0.780472557,0.843763554,0.807291667,576
SRER,NA,NA,NA,NA,NA,NA,NA
STEI,NA,NA,NA,NA,NA,NA,NA
STER,NA,NA,NA,NA,NA,NA,NA
TALL,25,0.80266209,0.392853179,0.787624785,0.817699395,0.796338673,2622
TEAK,NA,NA,NA,NA,NA,NA,NA
TOOL,8,0.823914286,0.364069799,0.801892827,0.845935744,0.801904762,1050
TREE,6,0.800278822,0.381290364,0.78705124,0.813506404,0.776315789,3192
UKFS,8,0.801647368,0.3852001,0.78432666,0.818968077,0.781578947,1900
UNDE,NA,NA,NA,NA,NA,NA,NA
WOOD,NA,NA,NA,NA,NA,NA,NA
WREF,15,0.812949853,0.387558929,0.771693202,0.854206503,0.808259587,339
YELL,8,0.821830601,0.364062702,0.795456558,0.848204645,0.796448087,732
