"Domain","Site","Site Code","Year-to-year K*","Trend K*","K_CV50","Max K","Recommended K","Recommendation basis","Notes"
"D01","Bartlett Experimental Forest","BART",5,NA,10,30,15,"Minimum design safeguard","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D01","Harvard Forest & Quabbin Watershed","HARV",25,NA,20,30,25,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D02","Blandy Experimental Farm","BLAN",NA,5,10,20,20,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D02","Smithsonian Conservation Biology Institute","SCBI",30,NA,15,24,30,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D02","Smithsonian Environmental Research Center","SERC",10,NA,20,30,20,"Trend stability constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D03","Disney Wilderness Preserve","DSNY",20,NA,8,30,20,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D03","The Jones Center At Ichauway","JERC",10,NA,10,26,15,"Minimum design safeguard","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D03","Ordway-Swisher Biological Station","OSBS",20,NA,5,20,20,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D04","Guánica Forest","GUAN",NA,NA,5,17,17,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D04","Lajas Experimental Station","LAJA",NA,5,10,27,27,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D05","Steigerwaldt-Chequamegon","STEI",15,NA,6,29,15,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D05","Treehaven","TREE",NA,5,6,26,26,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D05","University of Notre Dame Environmental Research Center","UNDE",15,NA,7,29,15,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D06","Konza Prairie Agroecosystem","KONA",NA,NA,8,20,20,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D06","Konza Prairie Biological Station","KONZ",25,NA,13,29,25,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D06","University of Kansas Field Station","UKFS",30,5,15,16,30,"Year-to-year detection constraint","Trend detection achieved at smaller K than stable slope estimation."
"D07","Great Smoky Mountains National Park","GRSM",20,NA,10,30,20,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D07","Mountain Lake Biological Station","MLBS",NA,5,5,12,12,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D07","Oak Ridge","ORNL",20,NA,15,25,20,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D08","Lenoir Landing","LENO",15,NA,5,29,15,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D08","Talladega National Forest","TALL",10,NA,10,29,15,"Minimum design safeguard","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D09","Dakota Coteau Field Site","DCFS",NA,5,5,30,30,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D09","Northern Great Plains Research Laboratory","NOGP",25,NA,5,30,25,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D09","Chase Lake National Wildlife Refuge","WOOD",25,NA,7,26,25,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D10","Central Plains Experimental Range","CPER",NA,NA,5,29,29,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D10","Rocky Mountains","RMNP",30,NA,5,30,30,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D10","North Sterling","STER",NA,NA,5,7,7,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D11","Lyndon B. Johnson National Grassland","CLBJ",15,NA,5,7,15,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D11","Marvin Klemme Range Research Station","OAES",20,NA,8,30,20,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D12","Yellowstone National Park","YELL",NA,NA,5,7,7,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D13","Moab","MOAB",15,5,6,15,15,"Year-to-year detection constraint","Trend detection achieved at smaller K than stable slope estimation."
"D13","Niwot Ridge","NIWO",25,NA,20,30,25,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D14","Jornada Experimental Range","JORN",20,NA,5,30,20,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D14","Santa Rita Experimental Range","SRER",10,NA,5,27,15,"Minimum design safeguard","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D15","Onaqui","ONAQ",20,NA,5,17,20,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D16","Abby Road","ABBY",25,5,7,29,25,"Year-to-year detection constraint","Trend detection achieved at smaller K than stable slope estimation."
"D16","Wind River Experimental Forest","WREF",30,NA,5,7,30,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D17","San Joaquin Experimental Range","SJER",30,5,5,10,30,"Year-to-year detection constraint","Detection and stability constraints broadly aligned."
"D17","Soaproot Saddle","SOAP",15,NA,5,19,15,"Year-to-year detection constraint","Imposed trend detection not achieved; recommendation based on year-to-year detection and stability."
"D17","Lower Teakettle","TEAK",NA,NA,10,17,17,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D18","Utqiaġvik","BARR",NA,NA,5,19,19,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D18","Toolik Field Station","TOOL",NA,NA,10,11,11,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D19","Caribou-Poker Creeks Research Watershed","BONA",NA,NA,20,20,20,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D19","Delta Junction","DEJU",NA,5,20,24,24,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
"D19","Healy","HEAL",NA,5,NA,8,8,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; trend stability threshold also not reached."
"D20","Pu'u Maka'ala Natural Area Reserve","PUUM",NA,NA,12,20,20,"Retain max K: year-to-year detection threshold not reached","Year-to-year detection not achieved; retain maximum sampling despite stable trend estimates."
