"Domain","Site","Site Code","Trend K*","Detection at max K (%)","K_CV50","Slope CV at max K (observed)","Max K"
"D01","Bartlett Experimental Forest","BART",NA,57.1,10,0,30
"D01","Harvard Forest & Quabbin Watershed","HARV",NA,38.3,20,0,30
"D02","Blandy Experimental Farm","BLAN",5,83.3,10,0,20
"D02","Smithsonian Conservation Biology Institute","SCBI",NA,58.6,15,0.16,24
"D02","Smithsonian Environmental Research Center","SERC",NA,49.1,20,0,30
"D03","Disney Wilderness Preserve","DSNY",NA,50,8,0,30
"D03","The Jones Center At Ichauway","JERC",NA,53.3,10,0.16,26
"D03","Ordway-Swisher Biological Station","OSBS",NA,59.3,5,0.093,20
"D04","Guánica Forest","GUAN",NA,41,5,0.034,17
"D04","Lajas Experimental Station","LAJA",5,91.6,10,0.068,27
"D05","Steigerwaldt-Chequamegon","STEI",NA,39.4,6,0.091,29
"D05","Treehaven","TREE",5,63.3,6,0,26
"D05","University of Notre Dame Environmental Research Center","UNDE",NA,51.1,7,0.037,29
"D06","Konza Prairie Agroecosystem","KONA",NA,66.7,8,0.22,20
"D06","Konza Prairie Biological Station","KONZ",NA,46.2,13,0.061,29
"D06","University of Kansas Field Station","UKFS",5,60.3,15,0.25,16
"D07","Great Smoky Mountains National Park","GRSM",NA,53.2,10,0,30
"D07","Mountain Lake Biological Station","MLBS",5,71.4,5,0.09,12
"D07","Oak Ridge","ORNL",NA,53.1,15,0.14,25
"D08","Lenoir Landing","LENO",NA,51.5,5,0.026,29
"D08","Talladega National Forest","TALL",NA,49,10,0.061,29
"D09","Dakota Coteau Field Site","DCFS",5,55.6,5,0,30
"D09","Northern Great Plains Research Laboratory","NOGP",NA,49,5,0,30
"D09","Chase Lake National Wildlife Refuge","WOOD",NA,55.6,7,0.16,26
"D10","Central Plains Experimental Range","CPER",NA,72.7,5,0.015,29
"D10","Rocky Mountains","RMNP",NA,68.4,5,0,30
"D10","North Sterling","STER",NA,65.3,5,0,7
"D11","Lyndon B. Johnson National Grassland","CLBJ",NA,70.9,5,0.35,7
"D11","Marvin Klemme Range Research Station","OAES",NA,62.8,8,0,30
"D12","Yellowstone National Park","YELL",NA,72.4,5,0.34,7
"D13","Moab","MOAB",5,75,6,0.13,15
"D13","Niwot Ridge","NIWO",NA,50,20,0,30
"D14","Jornada Experimental Range","JORN",NA,60,5,0,30
"D14","Santa Rita Experimental Range","SRER",NA,47.9,5,0.029,27
"D15","Onaqui","ONAQ",NA,72.2,5,0.19,17
"D16","Abby Road","ABBY",5,55.8,7,0.063,29
"D16","Wind River Experimental Forest","WREF",NA,76.8,5,0.1,7
"D17","San Joaquin Experimental Range","SJER",5,70.6,5,0.24,10
"D17","Soaproot Saddle","SOAP",NA,54.3,5,0.16,19
"D17","Lower Teakettle","TEAK",NA,31,10,0.18,17
"D18","Utqiaġvik","BARR",NA,73.3,5,0.16,19
"D18","Toolik Field Station","TOOL",NA,63.2,10,0.41,11
"D19","Caribou-Poker Creeks Research Watershed","BONA",NA,56.7,20,0.38,20
"D19","Delta Junction","DEJU",5,63.3,20,0.23,24
"D19","Healy","HEAL",5,89.4,NA,0.8,8
"D20","Pu'u Maka'ala Natural Area Reserve","PUUM",NA,50,12,0,20
